Bước,Hành động,Vị trí trước,Vị trí sau,Dirty còn lại,Chi phí bước,Chi phí tích lũy
1,MOVE_RIGHT,"(1, 1)","(2, 1)",4,5,5
2,MOVE_RIGHT,"(2, 1)","(3, 1)",4,5,10
3,MOVE_RIGHT,"(3, 1)","(4, 1)",4,5,15
4,SUCK,"(4, 1)","(4, 1)",3,4,19
5,MOVE_RIGHT,"(4, 1)","(5, 1)",3,4,23
6,MOVE_RIGHT,"(5, 1)","(6, 1)",3,4,27
7,MOVE_UP,"(6, 1)","(6, 2)",3,4,31
8,SUCK,"(6, 2)","(6, 2)",2,3,34
9,MOVE_LEFT,"(6, 2)","(5, 2)",2,3,37
10,MOVE_UP,"(5, 2)","(5, 3)",2,3,40
11,MOVE_UP,"(5, 3)","(5, 4)",2,3,43
12,SUCK,"(5, 4)","(5, 4)",1,2,45
13,MOVE_LEFT,"(5, 4)","(4, 4)",1,2,47
14,MOVE_LEFT,"(4, 4)","(3, 4)",1,2,49
15,SUCK,"(3, 4)","(3, 4)",0,1,50
